,0,1,2
571,1991,Market Square Arena           ,indiana pacers
572,1992,Market Square Arena           ,indiana pacers
573,1993,Market Square Arena           ,indiana pacers
574,1994,Market Square Arena           ,indiana pacers
575,1995,Market Square Arena           ,indiana pacers
576,1996,Market Square Arena           ,indiana pacers
577,1997,Market Square Arena           ,indiana pacers
578,1998,Market Square Arena           ,indiana pacers
579,1999,Conseco Fieldhouse            ,indiana pacers
580,2000,Conseco Fieldhouse            ,indiana pacers
581,2001,Conseco Fieldhouse            ,indiana pacers
582,2002,Conseco Fieldhouse            ,indiana pacers
583,2003,Conseco Fieldhouse            ,indiana pacers
584,2004,Conseco Fieldhouse            ,indiana pacers
585,2005,Conseco Fieldhouse            ,indiana pacers
586,2006,Conseco Fieldhouse            ,indiana pacers
587,2007,Conseco Fieldhouse            ,indiana pacers
588,2008,Conseco Fieldhouse            ,indiana pacers
589,2009,Conseco Fieldhouse            ,indiana pacers
590,2010,Bankers Life Fieldhouse       ,indiana pacers
591,2011,Bankers Life Fieldhouse       ,indiana pacers
592,2012,Bankers Life Fieldhouse       ,indiana pacers
593,2013,Bankers Life Fieldhouse       ,indiana pacers
594,2014,Bankers Life Fieldhouse       ,indiana pacers
595,2015,Bankers Life Fieldhouse       ,indiana pacers
596,2016,Bankers Life Fieldhouse       ,indiana pacers
597,2017,Bankers Life Fieldhouse       ,indiana pacers
598,2018,Bankers Life Fieldhouse       ,indiana pacers
599,1970,Memorial Auditorium              ,los angeles clippers
